author_id,institution,country_code,is_industry_elite,is_academic_elite,is_elite_overall
https://openalex.org/A5100444820,United States Department of the Army,US,0,0,0
https://openalex.org/A5100404176,Hebei Medical University,CN,0,0,0
https://openalex.org/A5086198262,Microsoft (United States),US,1,0,1
https://openalex.org/A5026322200,Unknown,Unknown,0,0,0
https://openalex.org/A5100732450,Xuzhou University of Technology,CN,0,0,0
https://openalex.org/A5100408983,Harbin Engineering University,CN,0,0,0
https://openalex.org/A5051534545,Max Planck Institute for Informatics,DE,0,0,0
https://openalex.org/A5100712167,Jiangnan University,CN,0,0,0
https://openalex.org/A5049349154,Berkeley College,US,0,1,1
https://openalex.org/A5015431603,Kunming University of Science and Technology,CN,0,0,0
https://openalex.org/A5013151488,Japan Advanced Institute of Science and Technology,JP,0,0,0
https://openalex.org/A5090720315,Shanghai Jiao Tong University,CN,0,1,1
https://openalex.org/A5001571390,Shanghai Jiao Tong University,CN,0,1,1
https://openalex.org/A5109600054,"Rutgers, The State University of New Jersey",US,0,0,0
https://openalex.org/A5066553616,Shanghai Jiao Tong University,CN,0,1,1
https://openalex.org/A5001226970,Courant Institute of Mathematical Sciences,US,0,0,0
https://openalex.org/A5074059447,Unknown,Unknown,0,0,0
https://openalex.org/A5091179481,Stanford Medicine,US,0,1,1
https://openalex.org/A5005431772,Unknown,Unknown,0,0,0
https://openalex.org/A5074429265,Google (United States),US,1,0,1
https://openalex.org/A5082357240,University of Copenhagen,DK,0,0,0
https://openalex.org/A5112608251,Unknown,Unknown,0,0,0
https://openalex.org/A5108652283,Seoul National University,KR,0,1,1
https://openalex.org/A5100621605,Kyushu University,JP,0,0,0
https://openalex.org/A5040372929,Center for Integrated Protein Science Munich,DE,0,0,0
https://openalex.org/A5000467703,Pennsylvania State University,US,0,1,1
https://openalex.org/A5066666034,Taoyuan Chang Gung Memorial Hospital,TW,0,0,0
https://openalex.org/A5003562101,Unknown,Unknown,0,0,0
https://openalex.org/A5072322524,Google DeepMind (United Kingdom),GB,1,0,1
https://openalex.org/A5107893340,Microsoft (United States),US,1,0,1
https://openalex.org/A5064986566,Unknown,Unknown,0,0,0
https://openalex.org/A5028613002,Apple (Israel),IL,1,0,1
https://openalex.org/A5100399257,City University of Hong Kong,HK,0,1,1
https://openalex.org/A5032356827,Google (United States),US,1,0,1
https://openalex.org/A5100552155,Chinese University of Hong Kong,HK,0,1,1
https://openalex.org/A5006446297,Unknown,Unknown,0,0,0
https://openalex.org/A5012728201,Shandong University,CN,0,0,0
https://openalex.org/A5004918186,Google (United States),US,1,0,1
https://openalex.org/A5052435039,Google (United States),US,1,0,1
https://openalex.org/A5006837984,Unknown,Unknown,0,0,0
https://openalex.org/A5068559249,Unknown,Unknown,0,0,0
https://openalex.org/A5053990531,Unknown,Unknown,0,0,0
https://openalex.org/A5081047759,Unknown,Unknown,0,0,0
https://openalex.org/A5113871902,Unknown,Unknown,0,0,0
https://openalex.org/A5079462322,Google (United States),US,1,0,1
https://openalex.org/A5003257470,Unknown,Unknown,0,0,0
https://openalex.org/A5020162825,Zhejiang University of Science and Technology,CN,0,1,1
https://openalex.org/A5034184867,Unknown,Unknown,0,0,0
https://openalex.org/A5069446643,Unknown,Unknown,0,0,0
https://openalex.org/A5016916513,Unknown,Unknown,0,0,0
https://openalex.org/A5114259459,China University of Mining and Technology,CN,0,0,0
https://openalex.org/A5029105520,Berkeley College,US,0,1,1
https://openalex.org/A5100404427,Ningbo University,CN,0,0,0
https://openalex.org/A5019313200,Shenzhen University,CN,0,0,0
https://openalex.org/A5075246991,Willow Biosciences (Canada),CA,0,0,0
https://openalex.org/A5028024287,Australian Institute of Business,AU,0,0,0
https://openalex.org/A5005908865,Thiruvalluvar University,IN,0,0,0
https://openalex.org/A5100606995,Chinese University of Hong Kong,HK,0,1,1
https://openalex.org/A5077460655,"University of California, Irvine",US,0,1,1
https://openalex.org/A5013834379,Guru Gobind Singh Indraprastha University,IN,0,0,0
https://openalex.org/A5088760097,Chongqing Technology and Business University,CN,0,0,0
https://openalex.org/A5018609918,University of Copenhagen,DK,0,0,0
https://openalex.org/A5050928023,Seoul National University,KR,0,1,1
https://openalex.org/A5100770109,University of Science and Technology of China,CN,0,1,1
https://openalex.org/A5052325109,IBM (United States),US,1,0,1
https://openalex.org/A5001534492,Fudan University,CN,0,1,1
https://openalex.org/A5060421432,The University of Tokyo,JP,0,1,1
https://openalex.org/A5067487326,ETH Zurich,CH,0,1,1
https://openalex.org/A5019862529,Unknown,Unknown,0,0,0
https://openalex.org/A5100680672,Changchun University of Science and Technology,CN,0,0,0
https://openalex.org/A5016775802,Unknown,Unknown,0,0,0
https://openalex.org/A5074393185,Naver (South Korea),KR,0,0,0
https://openalex.org/A5100773554,Nanjing Tech University,CN,0,0,0
https://openalex.org/A5053145694,Unknown,Unknown,0,0,0
https://openalex.org/A5100443473,Central South University of Forestry and Technology,CN,0,0,0
https://openalex.org/A5064564558,University of North Carolina at Chapel Hill,US,0,0,0
https://openalex.org/A5112445699,Unknown,Unknown,0,0,0
https://openalex.org/A5017069785,University of British Columbia,CA,0,1,1
https://openalex.org/A5073129092,Robert Bosch (United States),US,0,0,0
https://openalex.org/A5057535281,Unknown,Unknown,0,0,0
https://openalex.org/A5072905534,Beijing Institute of Big Data Research,CN,0,0,0
https://openalex.org/A5024833177,Baidu (China),CN,1,0,1
https://openalex.org/A5076130922,Purdue University West Lafayette,US,0,1,1
https://openalex.org/A5026208886,Unknown,Unknown,0,0,0
https://openalex.org/A5033865377,Xi’an Jiaotong-Liverpool University,CN,0,0,0
https://openalex.org/A5082512329,Unknown,Unknown,0,0,0
https://openalex.org/A5031241646,Unknown,Unknown,0,0,0
https://openalex.org/A5016340673,META Health,US,1,0,1
https://openalex.org/A5076651586,Unknown,Unknown,0,0,0
https://openalex.org/A5100665190,Nankai University,CN,0,0,0
https://openalex.org/A5022506974,Unknown,Unknown,0,0,0
https://openalex.org/A5017183605,Unknown,Unknown,0,0,0
https://openalex.org/A5102777251,Qingdao University of Technology,CN,0,0,0
https://openalex.org/A5108625977,Unknown,Unknown,0,0,0
https://openalex.org/A5103257775,Standard Bio (Norway),NO,0,0,0
https://openalex.org/A5051250767,Unknown,Unknown,0,0,0
